a,b,c,d,e,f,g,h,i,j,k
0.236453,0.782949,-1.563468,1.110796,1.065151,-0.490395,1.147295,0.421262,0.000000,0.000000,0.000000
-1.502364,-2.404365,0.631173,-1.786396,0.216259,-0.490395,-1.797778,-0.777860,0.000000,1.000000,1.000000
-0.151115,0.117106,0.317653,0.683583,1.914042,0.654866,0.968805,-0.298211,1.000000,1.000000,0.000000
-1.753759,-1.967747,0.004133,-1.575245,-0.632632,-1.635656,-0.637598,-2.696455,0.000000,0.000000,1.000000
-1.669961,-1.629367,0.317653,-1.324810,-0.632632,1.800128,-1.351555,-0.538035,0.000000,0.000000,0.000000
-0.350136,-0.625145,0.474413,0.212175,0.216259,0.654866,-0.280620,1.140735,0.000000,1.000000,0.000000
-3.314505,-0.002964,0.631173,-2.012279,1.065151,0.654866,-1.619289,-1.737157,0.000000,1.000000,2.000000
-1.177645,-1.542044,0.317653,0.256370,0.216259,-0.490395,0.790316,-1.017684,0.000000,1.000000,0.000000
0.267877,0.717456,-1.563468,0.614836,0.216259,-0.490395,0.433337,0.661086,0.000000,0.000000,0.000000
1.315357,1.132244,0.160893,-0.121738,1.065151,-0.490395,-0.459109,0.661086,0.000000,1.000000,0.000000
-0.496783,-1.247326,0.317653,2.019238,1.065151,0.654866,1.682762,1.620384,0.000000,0.000000,1.000000
1.294408,1.656186,0.631173,0.305475,0.216259,-0.490395,-0.280620,1.380559,0.000000,1.000000,0.000000
0.278352,-0.024795,-0.152627,0.388953,0.216259,0.654866,0.611827,-0.298211,0.000000,0.000000,1.000000
-0.004468,-0.002964,-0.152627,0.560820,1.914042,-0.490395,0.254848,0.900911,0.000000,1.000000,0.000000
0.917315,0.957596,0.631173,-0.269053,1.065151,-0.490395,-0.637598,0.661086,0.000000,0.000000,0.000000
1.074437,0.346331,-1.563468,-0.656982,-0.632632,0.654866,-0.994577,0.421262,1.000000,0.000000,0.000000
-0.130165,-0.286766,-1.720228,0.025577,1.914042,-0.490395,-0.280620,0.661086,0.000000,0.000000,0.000000
-0.004468,-0.002964,0.474413,0.536268,0.216259,-0.490395,0.790316,-0.298211,0.000000,1.000000,0.000000
-0.276812,-0.002964,0.474413,-2.272535,-2.330415,0.654866,-1.708534,-2.216806,0.000000,0.000000,2.000000
-1.649011,-1.694860,-0.152627,-1.015448,-1.481523,-0.490395,-0.637598,-1.257508,0.000000,1.000000,0.000000
-0.308237,-1.039933,0.474413,-1.098927,-0.632632,-2.780917,-1.530045,0.421262,0.000000,1.000000,1.000000
0.990639,1.634355,0.317653,1.523278,1.065151,0.654866,0.968805,1.860208,0.000000,1.000000,0.000000
-1.072897,-1.367396,0.160893,-0.750282,-0.632632,0.654866,-0.994577,0.181438,0.000000,0.000000,0.000000
0.529747,1.012174,0.631173,1.056780,-1.481523,-0.490395,0.968805,0.661086,0.000000,1.000000,0.000000
-0.004468,-0.002964,0.317653,-0.882865,-2.330415,-0.490395,-0.816087,-0.538035,0.000000,1.000000,0.000000
1.001113,0.641048,0.631173,0.590283,0.216259,0.654866,0.968805,-0.538035,0.000000,1.000000,0.000000
-1.491889,-1.607537,-0.466147,-1.727470,0.216259,-0.490395,-2.065512,-0.058387,0.000000,1.000000,2.000000
0.424999,0.029782,0.631173,1.444710,1.065151,0.654866,1.325784,0.900911,0.000000,1.000000,0.000000
-0.004468,-0.243104,0.317653,0.133607,0.216259,0.654866,0.076359,0.181438,0.000000,1.000000,0.000000
1.001113,0.269922,0.474413,-0.656982,-1.481523,-0.490395,-0.994577,0.421262,0.000000,0.000000,0.000000
-0.035892,-0.002964,-0.622907,-0.377084,-0.632632,0.654866,-0.994577,1.140735,0.000000,1.000000,0.000000
0.372625,0.793864,0.631173,-0.293606,-0.632632,0.654866,-0.102130,-0.538035,0.000000,1.000000,0.000000
0.718294,1.088582,0.631173,-0.269053,-0.632632,-1.635656,-0.637598,0.661086,0.000000,1.000000,0.000000
-1.481414,-1.814930,-0.309387,-0.568593,-0.632632,-0.490395,-0.548354,-0.298211,0.000000,1.000000,0.000000
-0.004468,-0.002964,0.474413,0.241638,0.216259,-1.635656,0.433337,-0.298211,0.000000,1.000000,0.000000
-0.004468,-0.002964,0.631173,-1.796217,1.914042,-0.490395,-2.600980,0.900911,0.000000,0.000000,2.000000
1.074437,-0.002964,0.317653,-1.388646,-1.481523,0.654866,-0.637598,-2.216806,1.000000,0.000000,0.000000
-2.183226,-0.002964,-0.152627,-0.882865,0.216259,-0.490395,-0.816087,-0.538035,0.000000,0.000000,2.000000
0.362151,-0.035711,0.160893,0.659030,0.216259,-0.490395,1.504273,-1.497333,0.000000,1.000000,0.000000
1.556278,1.776256,0.474413,-0.720819,-1.481523,0.654866,-0.280620,-1.257508,0.000000,1.000000,0.000000
1.032538,0.979427,-1.720228,1.940670,0.216259,0.654866,2.039741,0.661086,0.000000,1.000000,0.000000
-0.873876,-1.869508,-0.152627,-0.995806,-0.632632,-0.490395,-0.726843,-1.017684,1.000000,0.000000,0.000000
0.058381,0.095275,0.631173,-0.131559,0.216259,0.654866,0.433337,-1.257508,0.000000,1.000000,0.000000
1.084912,1.023089,0.004133,0.256370,-0.632632,0.654866,0.790316,-1.017684,0.000000,0.000000,0.000000
0.728769,-0.002964,-0.622907,0.830898,0.216259,-0.490395,1.147295,-0.298211,0.000000,1.000000,0.000000
1.084912,-0.035711,0.317653,0.241638,0.216259,0.654866,0.433337,-0.298211,0.000000,1.000000,0.000000
0.938265,0.903019,0.160893,-0.588235,-1.481523,-0.490395,-0.459109,-0.538035,0.000000,1.000000,0.000000
0.739243,0.520978,0.631173,-0.480204,1.065151,0.654866,-0.102130,-1.017684,0.000000,1.000000,0.000000
-0.831977,0.138937,0.474413,-0.735550,-0.632632,-0.490395,-0.637598,-0.538035,0.000000,0.000000,0.000000
-0.790078,-1.574790,0.631173,-1.413199,-1.481523,0.654866,-1.797778,0.181438,0.000000,1.000000,0.000000
-0.412985,-0.352259,-2.033748,1.459441,1.065151,-0.490395,1.682762,0.181438,0.000000,0.000000,0.000000
1.273458,0.903019,0.631173,0.560820,-0.632632,0.654866,0.254848,0.900911,0.000000,1.000000,0.000000
2.530434,2.693154,-0.152627,-0.013707,1.065151,-1.635656,-0.102130,0.181438,0.000000,0.000000,0.000000
-1.449990,-1.705776,0.631173,-0.131559,1.065151,0.654866,0.433337,-1.257508,0.000000,1.000000,2.000000
-0.014942,-0.177611,0.004133,-0.985986,-1.481523,0.654866,0.076359,-2.696455,0.000000,1.000000,0.000000
0.163129,-0.046626,-0.309387,-0.553862,0.216259,-0.490395,-0.191375,-1.017684,0.000000,1.000000,0.000000
0.896365,1.055835,-0.622907,-0.735550,-1.481523,0.654866,-0.637598,-0.538035,0.000000,1.000000,2.000000
-1.156696,-1.072679,0.317653,1.886654,1.914042,-1.635656,1.861252,0.900911,0.000000,0.000000,0.000000
0.927790,1.121328,-2.190508,0.737598,-0.632632,-0.490395,1.147295,-0.538035,0.000000,0.000000,0.000000
-1.942306,-1.574790,0.474413,0.978213,1.914042,-0.490395,1.325784,-0.298211,0.000000,0.000000,1.000000
-1.030998,-0.254020,-2.033748,-0.278874,-0.632632,1.800128,0.254848,-1.257508,0.000000,0.000000,0.000000
-2.235600,-2.458942,0.160893,1.150080,1.065151,0.654866,0.968805,0.900911,0.000000,1.000000,0.000000
-0.004468,-0.002964,0.004133,0.668851,-2.330415,0.654866,0.611827,0.421262,0.000000,1.000000,0.000000
1.399156,1.547031,0.474413,-0.067723,0.216259,0.654866,-0.280620,0.421262,0.000000,0.000000,0.000000
-0.612006,-1.061764,0.317653,-0.784655,-0.632632,1.800128,-1.262311,0.661086,0.000000,0.000000,0.000000
0.613546,0.630132,0.787933,-0.416368,-2.330415,-1.635656,-0.816087,0.661086,0.000000,1.000000,2.000000
0.665920,0.968512,-0.152627,0.364401,1.065151,0.654866,1.147295,-1.497333,0.000000,1.000000,1.000000
-0.905300,-1.640283,0.631173,0.040308,0.216259,-0.490395,0.076359,-0.058387,0.000000,1.000000,1.000000
0.037432,-0.330428,-0.466147,-0.161022,-0.632632,0.654866,-0.280620,0.181438,0.000000,0.000000,0.000000
-0.224438,-0.963524,-1.563468,0.894734,0.216259,-0.490395,0.433337,1.380559,0.000000,0.000000,0.000000
2.258089,2.387521,-0.466147,1.631308,0.216259,0.654866,1.325784,1.380559,1.000000,0.000000,0.000000
0.173604,-0.002964,0.004133,1.287574,0.216259,0.654866,2.039741,-1.017684,0.000000,1.000000,0.000000
0.225978,-0.625145,0.474413,-0.534220,-0.632632,-0.490395,-0.280620,-0.777860,0.000000,1.000000,0.000000
-1.219544,-1.334650,0.631173,0.040308,0.216259,-0.490395,0.076359,-0.058387,0.000000,0.000000,2.000000
0.100281,-0.144865,-0.152627,0.241638,-0.632632,-0.490395,0.433337,-0.298211,0.000000,0.000000,0.000000
-0.978624,-0.537822,-0.779667,-1.162763,0.216259,-0.490395,-0.816087,-1.257508,0.000000,1.000000,0.000000
1.388681,1.306891,0.317653,0.541179,1.065151,-1.635656,0.344093,0.661086,0.000000,1.000000,1.000000
-1.240494,-0.013880,0.631173,0.040308,1.065151,0.654866,0.076359,-0.058387,0.000000,0.000000,0.000000
0.246928,0.968512,0.631173,0.654120,-1.481523,0.654866,0.254848,1.140735,0.000000,1.000000,0.000000
-1.502364,-0.996271,0.004133,-0.755192,-0.632632,-0.490395,-0.548354,-0.777860,0.000000,0.000000,0.000000
-0.035892,-0.919863,0.317653,0.855450,1.914042,-1.635656,0.611827,0.900911,0.000000,0.000000,0.000000
-0.507258,-0.974440,0.631173,0.590283,1.065151,0.654866,0.968805,-0.538035,0.000000,1.000000,0.000000
0.959214,1.492454,0.787933,0.938929,-0.632632,-1.635656,1.504273,-0.777860,0.000000,0.000000,0.000000
-0.685330,-0.777962,0.317653,0.536268,0.216259,1.800128,0.790316,-0.298211,0.000000,1.000000,0.000000
-1.774709,-1.083595,0.474413,-0.107007,-0.632632,-0.490395,-0.102130,-0.058387,0.000000,1.000000,0.000000
-0.528208,-0.712469,0.004133,1.405426,1.914042,-1.635656,1.504273,0.421262,0.000000,0.000000,0.000000
1.713400,0.171683,0.631173,-0.509667,1.914042,-0.490395,-0.816087,0.421262,0.000000,1.000000,0.000000
-0.077791,0.913934,0.317653,-0.480204,-0.632632,0.654866,-0.102130,-1.017684,0.000000,0.000000,0.000000
0.362151,0.466401,0.787933,-1.928801,-2.330415,0.654866,-2.422491,0.181438,0.000000,0.000000,2.000000
-0.685330,-0.799793,-0.466147,0.722867,-0.632632,-1.635656,0.790316,0.181438,1.000000,1.000000,0.000000
1.797198,1.721678,0.160893,0.668851,0.216259,1.800128,0.611827,0.421262,0.000000,1.000000,0.000000
-1.774709,-1.673029,0.474413,-1.123479,-2.330415,0.654866,-0.994577,-0.777860,0.000000,1.000000,2.000000
1.032538,0.946681,0.631173,0.855450,0.216259,0.654866,0.611827,0.900911,0.000000,1.000000,0.000000
-0.507258,-0.712469,0.631173,-0.107007,-0.632632,1.800128,-0.102130,-0.058387,0.000000,0.000000,0.000000
1.692450,1.055835,0.474413,0.113965,1.065151,-1.635656,0.165604,-0.058387,0.000000,1.000000,0.000000
-0.423460,-0.767046,-0.622907,-1.103837,-0.632632,0.654866,-1.083821,-0.538035,0.000000,1.000000,0.000000
0.006007,-0.002964,0.474413,-0.946702,-0.632632,-0.490395,-0.102130,-2.216806,0.000000,1.000000,0.000000
-1.376666,-2.611759,-0.152627,-1.609618,-0.632632,-1.635656,-2.600980,1.380559,0.000000,0.000000,1.000000
0.634495,0.903019,0.631173,-0.038260,-0.632632,-1.635656,0.433337,-1.017684,0.000000,0.000000,0.000000
-0.936725,-0.526906,-1.720228,0.226907,1.065151,-0.490395,0.076359,0.421262,0.000000,1.000000,0.000000
0.561172,0.117106,0.631173,-0.092275,-1.481523,1.800128,0.254848,-0.777860,0.000000,0.000000,0.000000
0.582121,0.881188,-0.152627,-0.357442,-0.632632,-0.490395,0.611827,-2.216806,1.000000,1.000000,0.000000
1.116336,0.586471,0.474413,-0.367263,1.065151,1.800128,-0.191375,-0.538035,0.000000,0.000000,0.000000
0.791617,0.313584,0.474413,-0.161022,0.216259,1.800128,-0.280620,0.181438,0.000000,0.000000,0.000000
-0.433934,-0.352259,-10.185270,0.241638,0.216259,-0.490395,0.433337,-0.298211,0.000000,1.000000,0.000000
-0.119690,-0.177611,0.317653,0.442969,0.216259,0.654866,0.790316,-0.538035,0.000000,1.000000,0.000000
0.508798,-0.188527,0.631173,0.280922,0.216259,1.800128,0.254848,0.181438,0.000000,1.000000,0.000000
-0.716754,-0.657892,0.160893,0.276012,1.065151,0.654866,0.701071,-0.777860,0.000000,1.000000,1.000000
1.200135,1.263229,0.631173,0.040308,-0.632632,-0.490395,0.076359,-0.058387,0.000000,1.000000,0.000000
0.383100,0.051613,-0.466147,-1.938622,-0.632632,-2.780917,-1.530045,-1.737157,0.000000,0.000000,1.000000
-0.465359,-0.472329,0.631173,1.096064,0.216259,-0.490395,0.790316,1.140735,0.000000,1.000000,0.000000
1.912421,2.332944,0.631173,2.259852,0.216259,0.654866,1.861252,1.860208,0.000000,0.000000,0.000000
-0.622481,-1.509297,0.317653,-0.116828,-1.481523,-1.635656,0.790316,-1.976982,0.000000,1.000000,0.000000
-0.004468,-0.002964,-2.817548,0.064860,0.216259,-0.490395,-0.459109,1.140735,1.000000,0.000000,0.000000
0.529747,1.306891,0.474413,1.592024,1.065151,-0.490395,1.504273,0.900911,0.000000,0.000000,0.000000
-0.412985,-0.515991,-1.876988,-0.774834,-1.481523,-0.490395,-0.459109,-1.017684,1.000000,0.000000,0.000000
0.823042,1.066751,0.474413,1.459441,1.065151,-0.490395,1.682762,0.181438,0.000000,1.000000,0.000000
1.325832,1.295975,0.317653,-0.681535,-0.632632,-2.780917,-0.459109,-0.777860,0.000000,1.000000,0.000000
-1.795658,-1.345566,-0.936427,-2.282356,0.216259,0.654866,-2.511736,-0.538035,0.000000,1.000000,2.000000
1.283933,1.012174,0.474413,-0.033349,0.216259,0.654866,-0.012886,-0.058387,0.000000,1.000000,0.000000
0.644970,-0.123034,0.631173,-0.936881,-0.632632,0.654866,-0.994577,-0.298211,0.000000,1.000000,0.000000
0.372625,-0.450498,0.631173,0.280922,-0.632632,0.654866,0.254848,0.181438,0.000000,1.000000,0.000000
-0.538682,-0.428667,-2.504028,1.189364,1.065151,-2.780917,0.790316,1.380559,0.000000,0.000000,0.000000
0.215503,-1.683945,0.631173,-1.776575,-2.330415,0.654866,-0.994577,-2.456630,0.000000,1.000000,2.000000
-0.360611,-1.039933,-1.249947,0.251459,-1.481523,-0.490395,-0.459109,1.620384,0.000000,1.000000,1.000000
-0.004468,-0.002964,-1.093187,0.374222,-0.632632,-2.780917,0.254848,0.421262,0.000000,0.000000,1.000000
1.744824,1.437876,0.474413,0.334938,0.216259,-0.490395,0.433337,-0.058387,0.000000,1.000000,0.000000
-1.125271,-0.002964,0.004133,0.418416,-0.632632,0.654866,1.325784,-1.737157,1.000000,0.000000,0.000000
-0.653905,-0.537822,0.631173,0.614836,-0.632632,1.800128,0.433337,0.661086,0.000000,0.000000,0.000000
0.372625,0.750203,0.474413,0.629567,0.216259,1.800128,0.790316,-0.058387,0.000000,1.000000,0.000000
-0.077791,-1.280073,0.631173,1.685324,0.216259,0.654866,1.504273,1.140735,0.000000,1.000000,0.000000
0.152655,-0.035711,0.474413,-0.200306,-1.481523,0.654866,-0.102130,-0.298211,0.000000,1.000000,0.000000
-1.240494,-1.476551,0.631173,1.218827,1.065151,0.654866,1.504273,-0.058387,0.000000,0.000000,0.000000
-0.213964,0.171683,-0.466147,-0.362353,0.216259,-1.635656,-0.637598,0.421262,0.000000,1.000000,0.000000
-0.507258,-0.133950,0.631173,0.226907,1.065151,-0.490395,0.076359,0.421262,0.000000,1.000000,0.000000
-0.727229,-1.989578,0.004133,-1.432841,0.216259,-1.635656,-1.708534,-0.058387,0.000000,1.000000,1.000000
0.037432,0.357246,-1.406708,-0.082454,0.216259,0.654866,-0.637598,1.140735,0.000000,0.000000,0.000000
-0.517733,-0.996271,0.631173,-0.200306,1.914042,-1.635656,-0.102130,-0.298211,0.000000,1.000000,1.000000
0.477373,1.132244,0.631173,-0.200306,-0.632632,1.800128,-0.102130,-0.298211,0.000000,0.000000,0.000000
-0.769128,-0.701553,-0.466147,-1.393557,-0.632632,1.800128,-0.191375,-3.176103,0.000000,0.000000,0.000000
1.912421,1.939988,0.317653,0.025577,0.216259,0.654866,-0.280620,0.661086,0.000000,1.000000,0.000000
1.221084,1.525200,0.787933,0.197444,0.216259,1.800128,-0.637598,1.860208,0.000000,1.000000,0.000000
-0.130165,-0.636061,0.317653,1.886654,1.065151,0.654866,1.861252,0.900911,0.000000,1.000000,0.000000
-1.104322,-1.356481,0.631173,-0.092275,1.065151,-0.490395,0.254848,-0.777860,0.000000,1.000000,0.000000
-0.779603,-1.913169,0.474413,0.816166,-0.632632,0.654866,0.790316,0.421262,0.000000,0.000000,0.000000
1.598177,0.619217,-0.466147,-0.480204,1.914042,0.654866,-0.102130,-1.017684,0.000000,0.000000,0.000000
0.686869,-0.625145,0.317653,-1.157853,-1.481523,0.654866,-1.262311,-0.298211,0.000000,1.000000,0.000000
-0.245388,0.619217,0.631173,0.816166,1.065151,0.654866,0.790316,0.421262,0.000000,1.000000,0.000000
-0.004468,-0.002964,0.631173,0.870182,-0.632632,-0.490395,0.968805,0.181438,0.000000,1.000000,0.000000
0.424999,0.870273,0.160893,-1.413199,-0.632632,-0.490395,-0.102130,-3.415928,1.000000,1.000000,2.000000
-0.004468,-0.002964,-2.033748,0.600104,1.065151,-0.490395,0.076359,1.380559,0.000000,0.000000,0.000000
1.179185,1.448792,-1.563468,1.056780,1.065151,0.654866,0.968805,0.661086,0.000000,1.000000,0.000000
-1.596637,-0.985355,0.631173,1.429978,1.065151,1.800128,0.968805,1.620384,0.000000,0.000000,0.000000
-0.004468,2.005480,0.631173,0.575552,-1.481523,1.800128,0.611827,0.181438,0.000000,0.000000,0.000000
1.001113,0.488232,0.631173,-0.121738,-0.632632,-0.490395,-0.459109,0.661086,0.000000,0.000000,0.000000
0.948739,-0.002964,-0.779667,0.708135,1.065151,0.654866,0.433337,0.900911,0.000000,0.000000,0.000000
-0.119690,0.313584,0.787933,0.708135,0.216259,-0.490395,0.433337,0.900911,0.000000,0.000000,0.000000
0.885891,0.717456,0.317653,-0.750282,-0.632632,-0.490395,-0.994577,0.181438,0.000000,1.000000,0.000000
0.676395,-0.188527,-0.936427,0.334938,0.216259,-1.635656,0.433337,-0.058387,0.000000,1.000000,0.000000
1.294408,1.405130,0.474413,0.629567,1.065151,0.654866,0.790316,-0.058387,1.000000,1.000000,0.000000
0.152655,-0.515991,0.474413,-2.149773,-0.632632,1.800128,-2.690225,0.181438,0.000000,1.000000,0.000000
-0.004468,-0.002964,-2.974308,-0.666803,1.914042,1.800128,-0.102130,-1.497333,0.000000,0.000000,0.000000
0.644970,0.477316,0.631173,0.575552,1.065151,1.800128,0.611827,0.181438,0.000000,1.000000,0.000000
-0.381560,-0.341343,0.474413,-0.509667,1.065151,-1.635656,-0.816087,0.421262,0.000000,0.000000,0.000000
-1.209070,-1.160003,-0.152627,-1.442662,1.065151,0.654866,-0.816087,-1.976982,0.000000,1.000000,0.000000
-1.083372,-1.498382,0.474413,-0.887776,-0.632632,0.654866,-0.369864,-1.497333,0.000000,0.000000,0.000000
-0.517733,-0.559653,0.474413,0.722867,1.065151,0.654866,0.790316,0.181438,0.000000,1.000000,1.000000
-0.852926,-0.548737,-1.406708,0.055039,1.914042,-0.490395,0.433337,-0.777860,0.000000,1.000000,0.000000
-0.130165,0.520978,0.004133,1.390694,1.065151,-0.490395,1.147295,1.140735,0.000000,0.000000,0.000000
0.885891,1.121328,-0.309387,-0.715908,0.216259,0.654866,-0.726843,-0.298211,0.000000,1.000000,0.000000
-0.549157,-0.002964,0.631173,1.150080,1.914042,0.654866,0.968805,0.900911,0.000000,1.000000,0.000000
-1.523314,-0.002964,-0.936427,1.258111,1.914042,-0.490395,1.325784,0.421262,0.000000,1.000000,0.000000
0.362151,0.138937,0.631173,0.654120,0.216259,-1.635656,0.254848,1.140735,0.000000,0.000000,0.000000
1.126811,1.743509,0.317653,0.526447,0.216259,0.654866,-0.012886,1.380559,0.000000,0.000000,0.000000
-1.910881,-1.880423,-4.228388,-2.007368,0.216259,0.654866,-2.065512,-0.777860,0.000000,0.000000,0.000000
0.665920,0.913934,-0.152627,0.521537,1.065151,0.654866,0.433337,0.421262,0.000000,1.000000,0.000000
0.529747,-0.144865,0.317653,-0.067723,-0.632632,0.654866,-0.280620,0.421262,0.000000,0.000000,0.000000
0.613546,-0.199442,-0.152627,0.938929,-0.632632,-0.490395,1.504273,-0.777860,0.000000,1.000000,0.000000
-1.502364,-0.002964,0.474413,0.104144,1.914042,0.654866,-0.637598,1.620384,0.000000,0.000000,2.000000
0.980164,1.219567,-0.779667,-0.509667,-1.481523,-0.490395,-0.816087,0.421262,0.000000,1.000000,0.000000
-0.968149,-1.520213,0.631173,-0.534220,-0.632632,0.654866,-0.280620,-0.777860,0.000000,0.000000,0.000000
-0.402510,-0.330428,0.317653,0.388953,-0.632632,-0.490395,0.611827,-0.298211,0.000000,0.000000,0.000000
0.770668,0.848442,0.631173,0.482253,0.216259,0.654866,0.611827,-0.058387,0.000000,0.000000,0.000000
-1.041473,-1.585706,-1.876988,-2.419850,0.216259,-0.490395,-1.887023,-2.216806,0.000000,0.000000,0.000000
-0.852926,-1.116341,-0.152627,0.948750,0.216259,-0.490395,0.611827,1.140735,0.000000,1.000000,0.000000
-1.565213,-0.002964,-0.622907,-1.683276,-0.632632,0.654866,-0.994577,-2.216806,0.000000,1.000000,0.000000
0.362151,-0.232189,-2.660788,-1.103837,-2.330415,-0.490395,-1.083821,-0.538035,0.000000,1.000000,0.000000
-0.297762,-0.308597,0.631173,-0.131559,-1.481523,0.654866,0.433337,-1.257508,0.000000,0.000000,0.000000
-0.172064,-0.777962,0.160893,0.605015,1.065151,0.654866,1.325784,-1.257508,0.000000,1.000000,0.000000
-0.025417,-0.483244,-0.152627,0.442969,1.065151,-1.635656,0.790316,-0.538035,1.000000,0.000000,1.000000
-0.800552,-0.472329,0.631173,0.334938,0.216259,0.654866,0.433337,-0.058387,0.000000,0.000000,0.000000
1.650551,2.027311,0.787933,1.871923,1.065151,0.654866,1.504273,1.620384,0.000000,0.000000,0.000000
-0.433934,-0.243104,-1.406708,0.521537,0.216259,-1.635656,0.433337,0.421262,0.000000,0.000000,0.000000
-0.454884,-0.199442,0.474413,1.150080,1.065151,1.800128,0.968805,0.900911,0.000000,1.000000,0.000000
0.414525,0.630132,0.317653,1.150080,1.065151,-0.490395,0.968805,0.900911,0.000000,0.000000,1.000000
-1.292868,-1.662114,-5.168949,-1.015448,-0.632632,-0.490395,-0.637598,-1.257508,0.000000,1.000000,0.000000
1.514379,0.520978,0.317653,-0.185575,-0.632632,0.654866,0.254848,-1.017684,0.000000,1.000000,0.000000
0.445949,0.182599,0.474413,-0.008797,-0.632632,-0.490395,-0.548354,1.140735,0.000000,1.000000,0.000000
0.875416,0.510062,-0.466147,-0.627519,-0.632632,-0.490395,-0.280620,-1.017684,1.000000,1.000000,0.000000
-2.193701,-1.301904,-2.817548,-1.604708,-0.632632,-1.635656,-1.351555,-1.257508,0.000000,0.000000,0.000000
0.791617,0.815695,0.317653,1.660771,0.216259,0.654866,2.039741,-0.058387,0.000000,1.000000,0.000000
0.529747,0.651963,0.631173,-0.436010,-0.632632,0.654866,-0.726843,0.421262,0.000000,0.000000,0.000000
0.299302,0.379077,-0.936427,-0.769924,-0.632632,-0.490395,-0.905332,-0.058387,0.000000,1.000000,0.000000
0.288827,-0.483244,0.317653,0.467521,-0.632632,-0.490395,0.254848,0.661086,0.000000,0.000000,0.000000
1.828623,1.983649,0.631173,1.429978,-0.632632,-0.490395,0.968805,1.620384,0.000000,0.000000,0.000000
-0.098741,0.062529,0.160893,-0.882865,-1.481523,0.654866,-0.816087,-0.538035,0.000000,1.000000,0.000000
0.341201,-0.799793,-0.152627,-0.681535,-0.632632,-1.635656,-0.459109,-0.777860,0.000000,0.000000,0.000000
1.022063,1.416046,0.317653,0.855450,0.216259,0.654866,0.611827,0.900911,0.000000,1.000000,0.000000
1.242034,1.579777,0.474413,1.189364,-0.632632,-0.490395,0.790316,1.380559,0.000000,1.000000,0.000000
-1.439515,-1.116341,0.474413,1.538009,1.065151,-0.490395,1.325784,1.140735,0.000000,0.000000,0.000000
0.561172,0.564640,0.631173,1.739339,1.065151,0.654866,1.682762,0.900911,0.000000,0.000000,0.000000
1.807673,2.016396,0.317653,-1.403378,-0.632632,0.654866,-0.994577,-1.497333,0.000000,1.000000,0.000000
0.990639,1.219567,0.317653,1.017497,-0.632632,-0.490395,1.147295,0.181438,0.000000,0.000000,0.000000
-0.339661,-0.002964,-2.660788,0.315296,0.216259,-0.490395,0.522582,-0.298211,0.000000,0.000000,0.000000
-0.392035,1.230483,-1.249947,-0.146291,1.065151,-1.635656,0.076359,-0.538035,0.000000,1.000000,0.000000
